0,1,2,3,4,5,6,7
30.9,0.99303,1.3318,1.3758,1.3667,1.3916,1.4646,1.4306
31,0.99303,1.3343,1.3824,1.3849,1.3866,1.4646,1.4339
31.1,0.99303,1.3343,1.3858,1.3783,1.3808,1.4347,1.4082
31.2,0.99303,1.3227,1.3941,1.3667,1.3816,1.4107,1.4098
31.3,0.99303,1.3276,1.3982,1.3691,1.3974,1.409,1.4206
31.4,0.99303,1.3285,1.3941,1.365,1.3916,1.4057,1.4073
31.5,0.99303,1.3326,1.3866,1.375,1.3924,1.4015,1.4148
31.6,0.99303,1.3243,1.3799,1.3691,1.4057,1.4007,1.409
31.7,0.99303,1.3235,1.3799,1.3575,1.3965,1.3999,1.4057
31.8,0.99303,1.3293,1.3625,1.3542,1.3949,1.3974,1.4165
31.9,0.99303,1.3351,1.3683,1.3459,1.3791,1.3833,1.4156
32,0.99303,1.3359,1.3667,1.3534,1.3932,1.3866,1.4123
32.1,0.99303,1.3334,1.3758,1.3509,1.4007,1.3824,1.3874
32.2,0.99303,1.3301,1.3791,1.3567,1.4065,1.3907,1.4065
32.3,0.99303,1.3268,1.3799,1.3733,1.3949,1.3941,1.414
32.4,0.99303,1.3268,1.3941,1.3683,1.4098,1.4024,1.4239
32.5,0.99303,1.3301,1.3907,1.3725,1.4165,1.4007,1.4057
32.6,0.99303,1.3143,1.3941,1.3957,1.4156,1.4024,1.3974
32.7,0.99303,1.3094,1.3957,1.3932,1.409,1.3916,1.3924
32.8,0.99303,1.2994,1.4032,1.3916,1.4082,1.3891,1.4048
32.9,0.99303,1.2961,1.3874,1.3949,1.4007,1.3758,1.419
33,0.99303,1.2953,1.3791,1.3932,1.409,1.375,1.4132
33.1,0.98555,1.2928,1.3941,1.3924,1.4148,1.3716,1.4281
33.2,0.98555,1.2928,1.4048,1.3874,1.4148,1.37,1.4389
33.3,0.98555,1.2911,1.4098,1.3874,1.4048,1.3833,1.4397
33.4,0.98555,1.2836,1.4032,1.3999,1.3965,1.365,1.4347
33.5,0.98555,1.2803,1.4181,1.4007,1.4082,1.3741,1.4439
33.6,0.98555,1.2728,1.414,1.3916,1.4082,1.3841,1.4347
33.7,0.98555,1.272,1.414,1.3849,1.4165,1.3858,1.4339
33.8,0.98555,1.272,1.4165,1.3691,1.4048,1.3658,1.4314
33.9,0.98555,1.2712,1.4264,1.36,1.4082,1.3625,1.4248
34,0.98555,1.2712,1.4497,1.35,1.4048,1.375,1.4306
34.1,0.98555,1.2811,1.443,1.3426,1.404,1.3841,1.4231
34.2,0.98555,1.277,1.4339,1.3301,1.3891,1.375,1.4048
34.3,0.98555,1.2778,1.4256,1.3368,1.3716,1.3791,1.4206
34.4,0.98555,1.2795,1.4223,1.3384,1.3733,1.375,1.4215
34.5,0.98555,1.272,1.4273,1.3351,1.3774,1.3841,1.4098
34.6,0.98555,1.2695,1.4339,1.3351,1.3758,1.3675,1.4057
34.7,0.98555,1.2745,1.4298,1.3268,1.3708,1.37,1.4024
34.8,0.98555,1.2737,1.4322,1.3218,1.3824,1.3841,1.3999
34.9,0.98555,1.2745,1.4364,1.3268,1.3708,1.3849,1.4181
35,0.98555,1.2703,1.4439,1.3301,1.3866,1.3741,1.4215
35.1,0.97974,1.2629,1.4314,1.3276,1.4082,1.375,1.4306
35.2,0.97974,1.267,1.4422,1.3459,1.409,1.3716,1.4331
35.3,0.97974,1.2728,1.4289,1.3467,1.409,1.3725,1.4223
35.4,0.97974,1.2703,1.4264,1.36,1.4024,1.3642,1.4132
35.5,0.97974,1.2737,1.419,1.3667,1.3974,1.3592,1.404
35.6,0.97974,1.277,1.4347,1.3733,1.4048,1.3459,1.3999
35.7,0.97974,1.277,1.4298,1.3824,1.4015,1.3567,1.4024
35.8,0.97974,1.2878,1.4206,1.3899,1.3965,1.3525,1.3916
35.9,0.97974,1.2919,1.4239,1.3899,1.3916,1.3667,1.3542
36,0.97974,1.2919,1.4173,1.3799,1.4065,1.37,1.3667
36.1,0.97974,1.2977,1.4173,1.375,1.4123,1.3584,1.3608
36.2,0.97974,1.2986,1.4198,1.3791,1.4057,1.3667,1.3608
