0,1,2,3,4,5,6,7
28.1,0.636,0.76719,0.8195,0.84357,0.83361,0.88592,0.8992
28.2,0.64347,0.7647,0.84856,0.8552,0.81783,0.8826,0.89007
28.3,0.64347,0.75888,0.85935,0.84939,0.81285,0.8635,0.88343
28.4,0.63766,0.76387,0.85603,0.85105,0.83776,0.86184,0.89422
28.5,0.63766,0.76304,0.84939,0.84523,0.83942,0.86599,0.88924
28.6,0.63351,0.76304,0.85105,0.84191,0.84689,0.83776,0.8909
28.7,0.62438,0.76054,0.83195,0.86765,0.84689,0.83029,0.89837
28.8,0.62438,0.75224,0.84025,0.85686,0.8444,0.84523,0.87263
28.9,0.61524,0.75473,0.84025,0.85105,0.85105,0.85686,0.87928
29,0.61524,0.76054,0.84523,0.82863,0.8444,0.86101,0.86433
29.1,0.61773,0.75722,0.84606,0.82033,0.82448,0.88343,0.86765
29.2,0.61773,0.76719,0.82531,0.81451,0.82531,0.86101,0.87762
29.3,0.62604,0.76137,0.81202,0.81036,0.81866,0.85188,0.88675
29.4,0.62936,0.76137,0.80206,0.82282,0.83029,0.87346,0.88094
29.5,0.62936,0.76054,0.80621,0.80953,0.83527,0.88426,0.8909
29.6,0.63102,0.7539,0.8004,0.79127,0.83444,0.87429,0.87928
29.7,0.63102,0.74726,0.80123,0.78213,0.85022,0.8826,0.88177
29.8,0.63517,0.7539,0.79459,0.78794,0.83112,0.87845,0.88094
29.9,0.62936,0.76304,0.79708,0.78628,0.82282,0.88841,0.86599
30,0.62936,0.76719,0.79625,0.81036,0.81036,0.89173,0.88509
30.1,0.62189,0.77632,0.79293,0.80787,0.79791,0.88426,0.91332
30.2,0.62189,0.77632,0.80123,0.82199,0.78628,0.89007,0.91498
30.3,0.63019,0.77134,0.78296,0.81202,0.79044,0.90585,0.92411
30.4,0.63019,0.77051,0.77798,0.80289,0.79957,0.93075,0.93158
30.5,0.61857,0.76221,0.78545,0.80953,0.81285,0.91498,0.91415
30.6,0.61773,0.76221,0.78877,0.83112,0.80123,0.89256,0.92494
30.7,0.61773,0.77217,0.78877,0.84274,0.79957,0.90003,0.90418
30.8,0.62106,0.77549,0.78794,0.84523,0.78545,0.89007,0.89173
30.9,0.62521,0.76885,0.79044,0.85022,0.78296,0.86101,0.89837
31,0.62521,0.76553,0.79874,0.8552,0.79459,0.86101,0.89837
31.1,0.62853,0.773,0.79459,0.87595,0.79127,0.87263,0.88343
31.2,0.62853,0.77964,0.79376,0.87429,0.78462,0.88758,0.90086
31.3,0.63351,0.77134,0.79127,0.88011,0.79542,0.88343,0.88343
31.4,0.63351,0.76719,0.79459,0.87928,0.80787,0.87595,0.90086
31.5,0.63351,0.76802,0.79293,0.87263,0.81534,0.86931,0.88343
31.6,0.63849,0.77383,0.79044,0.85686,0.82033,0.87845,0.87263
31.7,0.64929,0.77051,0.79791,0.84939,0.82116,0.87845,0.90418
31.8,0.6551,0.7813,0.80621,0.85022,0.83195,0.88841,0.91166
31.9,0.6551,0.78379,0.80953,0.84191,0.83195,0.8552,0.91332
32,0.6468,0.78462,0.81036,0.81617,0.83361,0.86267,0.90418
32.1,0.6468,0.78379,0.8444,0.80621,0.82863,0.84108,0.89754
32.2,0.64513,0.79293,0.83776,0.82282,0.82033,0.83278,0.89256
32.3,0.65095,0.78545,0.83527,0.84689,0.82531,0.83278,0.87928
32.4,0.65095,0.773,0.83444,0.83361,0.82448,0.85188,0.87762
32.5,0.65759,0.77383,0.8195,0.82863,0.84274,0.85354,0.89422
32.6,0.65095,0.77134,0.84357,0.84773,0.84939,0.84357,0.90501
32.7,0.65095,0.7813,0.8444,0.85686,0.84939,0.83859,0.90169
32.8,0.64347,0.78877,0.84773,0.86433,0.84108,0.83942,0.92245
32.9,0.64347,0.78462,0.84274,0.86267,0.85437,0.817,0.91996
33,0.63434,0.79293,0.83859,0.83776,0.8635,0.82116,0.9183
33.1,0.63683,0.79044,0.84689,0.8278,0.85271,0.80538,0.90169
33.2,0.63683,0.7921,0.84606,0.82448,0.84523,0.7921,0.91498
33.3,0.62604,0.78794,0.8635,0.81202,0.84108,0.7813,0.91
33.4,0.61857,0.78628,0.86848,0.79957,0.86018,0.80621,0.91415
33.5,0.61857,0.79376,0.86184,0.80372,0.87014,0.80123,0.91332
33.6,0.60943,0.77798,0.85188,0.79874,0.86848,0.79708,0.90751
33.7,0.6086,0.77466,0.85188,0.8004,0.87928,0.77466,0.90335
33.8,0.6086,0.78296,0.84939,0.79376,0.89256,0.773,0.88675
33.9,0.60694,0.78545,0.85188,0.79791,0.88011,0.78379,0.89837
34,0.60694,0.7921,0.8552,0.80621,0.88343,0.78545,0.87097
34.1,0.60694,0.7896,0.85271,0.817,0.88592,0.7647,0.88177
34.2,0.60113,0.78794,0.85105,0.81451,0.86765,0.77549,0.89256
34.3,0.6086,0.79542,0.83527,0.79791,0.8552,0.78794,0.89588
